reviewAction,inducteeId,inducteeName,classYear,phraseLabel,phraseQuality,confidence,evidenceCount,sourcePageUrls,existingCountryTags,inferredCountryTags,safeguardStatus,migrationDirection,publicUse
exploratory-place-phrase-review,donna-hom-2014,Donna Hom,2014,Westgate Mall. The location,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/donna-hom-2014/,China,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,donna-hom-2014,Donna Hom,2014,East,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/donna-hom-2014/,China,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,eugene-bak-2014,Eugene Bak,2014,Poland. In February,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/eugene-bak-2014/,Poland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,eugene-bak-2014,Eugene Bak,2014,Siberia in,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/eugene-bak-2014/,Poland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,eugene-bak-2014,Eugene Bak,2014,St. John Cantius High,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/eugene-bak-2014/,Poland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,eugene-bak-2014,Eugene Bak,2014,Ohio State in,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/eugene-bak-2014/,Poland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,jim-foster-2014,Jim Foster,2014,Saudi Arabia,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/jim-foster-2014/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,joseph-p-meissner-2014,Joseph P Meissner,2014,Gettysburg to the Somme,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/joseph-p-meissner-2014/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,joseph-p-meissner-2014,Joseph P Meissner,2014,Patton in the Battle,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/joseph-p-meissner-2014/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,joseph-p-meissner-2014,Joseph P Meissner,2014,Greater Cleveland for his,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/joseph-p-meissner-2014/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,joseph-p-meissner-2014,Joseph P Meissner,2014,Cleveland have given lectures,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/joseph-p-meissner-2014/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,joseph-p-meissner-2014,Joseph P Meissner,2014,Command,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/joseph-p-meissner-2014/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,margaret-callander-2014,Margaret Callander,2014,Glasgow,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/margaret-callander-2014/,United Kingdom,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,monte-ahuja-2014,Monte Ahuja,2014,CSU In,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/monte-ahuja-2014/,India,India,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,dick-pogue-2015,Dick Pogue,2015,Jones Day,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/richard-pogue-2015/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,honorable-jose-a-villanueva-2015,Honorable José A. Villanueva,2015,Utuado,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/honorable-jose-a-villanueva-2015/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,richard-a-ganim-2015,Richard A. Ganim,2015,Lebanon in the early,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/richard-ganim-2015/,Lebanon,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,steve-mulloy-2015,Steve Mulloy,2015,Ireland spent sleeping their,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/steve-mulloy-2015/,Ireland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,New York. In the,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/,Poland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,New York to induct,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/,Poland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,New York,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/induction-event-info/eugenia-stolarczyk/,Poland,,needs-geography-review,not-inferred,candidate-only
