reviewPriority,inducteeId,inducteeName,classYear,region,sourceProfileCount,primarySourceProfileUrl,profileAliasCount,newImageReviewCount,newProfileVideoReviewCount,newContextVideoReviewCount,relationshipReviewCount,placeReviewCount,organizationReviewCount,primaryStoryLeadCount,manualFlags,nextBestAction
high,paul-burik-2019,Paul Burik,2019,Europe,1,https://clevelandinternationalhalloffame.com/paul-burik/,0,8,0,19,28,0,5,3,image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,richard-fleischman-2019,Richard Fleischman,2019,Europe,1,https://clevelandinternationalhalloffame.com/richard-fleischman/,0,8,0,8,9,0,3,3,image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,sree-sreenath-2019,Sree Sreenath,2019,Asia,1,https://clevelandinternationalhalloffame.com/sree-sreenath/,0,12,0,6,2,1,9,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,abby-mina-2018,Abby Mina,2018,Asia,1,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,0,11,0,0,2,0,8,3,image-rights-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,atul-mehta-2018,Atul Mehta,2018,Asia,1,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,0,15,0,10,8,2,2,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,ralph-perk-jr-2018,Ralph Perk Jr.,2018,Europe,1,https://clevelandinternationalhalloffame.com/inductees-europe/ralph-perk-jr/,0,14,0,0,5,0,6,3,image-rights-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,ray-pianka-2018,Ray Pianka,2018,Europe,1,https://clevelandinternationalhalloffame.com/inductees-europe/ray-pianka/,0,13,0,12,5,0,5,3,image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,Europe,1,https://clevelandinternationalhalloffame.com/inductees-europe/sheila-murphy-crawford/,0,10,0,12,8,2,10,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,North America,1,https://clevelandinternationalhalloffame.com/inductees-south-america/sister-alicia-alvarado/,0,17,0,12,5,1,9,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,basil-russo-2017,Basil Russo,2017,Europe,1,https://clevelandinternationalhalloffame.com/inductees-europe/basil-russo/,0,7,0,11,12,0,6,3,image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,bill-miller-2017,Bill Miller,2017,Europe,1,https://clevelandinternationalhalloffame.com/inductees-europe/bill-miller/,0,11,0,0,2,0,1,3,image-rights-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,jim-craciun-2017,Jim Craciun,2017,Europe,1,https://clevelandinternationalhalloffame.com/inductees-europe/jim-craciun/,1,8,0,6,7,1,6,3,profile-alias-review|image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,mona-alag-2017,Mona Alag,2017,Asia,1,https://clevelandinternationalhalloffame.com/inductees/mona-alag/,1,11,0,6,23,0,0,3,profile-alias-review|image-rights-review|video-context-review|relationship-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,sam-kim-2017,Sam Kim,2017,Asia,1,https://clevelandinternationalhalloffame.com/inductees-asia/sam-kim/,1,8,0,0,2,0,3,3,profile-alias-review|image-rights-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,wael-khoury-2017,Wael Khoury,2017,Asia,1,https://clevelandinternationalhalloffame.com/inductees-asia/wael-khoury/,1,7,0,14,17,0,11,2,profile-alias-review|image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,2016,Europe,1,https://clevelandinternationalhalloffame.com/arnie-de-la-porte-2016/,0,3,0,0,2,0,6,3,image-rights-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,Europe,2,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/,1,4,0,0,3,2,8,3,profile-alias-review|duplicate-source-pages|image-rights-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,Europe,2,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/,1,5,0,0,2,0,5,3,profile-alias-review|duplicate-source-pages|image-rights-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,jack-kahl-2016,Jack Kahl,2016,Europe,2,https://clevelandinternationalhalloffame.com/jack-kahl-2016/,1,6,0,4,13,0,4,3,profile-alias-review|duplicate-source-pages|image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
