reviewAction,sourcePersonId,sourcePersonName,targetEntityType,targetEntityId,targetDisplayName,type,displayLabel,provenanceCandidate,confidence,evidenceCount,evidenceTypes,sourcePageUrls,referenceNote,publicUse
resolve-presenter-before-relationship,catherine-jorgensen-mccutcheon-2026,Catherine Jorgensen McCutcheon,person-name,her-daughter-karin-mccutcheon,her daughter Karin McCutcheon,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/catherine-jorgensen-mccutcheon/,Original CIHOF profile lists inducted by her daughter Karin McCutcheon.,candidate-only
resolve-presenter-before-relationship,david-gilbert-2025,David Gilbert,person-name,global-cleveland-ceo-joe-cimperman,Global Cleveland CEO Joe Cimperman,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/david-gilbert/,Original CIHOF profile lists inducted by Global Cleveland CEO Joe Cimperman.,candidate-only
resolve-presenter-before-relationship,dona-brady-2024,Dona Brady,person-name,mike-polensek,Mike Polensek,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees/dona-brady/,Original CIHOF profile lists inducted by Mike Polensek.,candidate-only
resolve-presenter-before-relationship,dr-eugene-jordan-2024,Dr. Eugene Jordan,person-name,rev-moss-jr,Rev Moss Jr,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees/dr-eugene-jordan/,Original CIHOF profile lists inducted by Rev Moss Jr.,candidate-only
resolve-presenter-before-relationship,erika-puussaar-2024,Erika Puussaar,person-name,ambassador-prikk,Ambassador Prikk,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees/erika-puussaar/,Original CIHOF profile lists inducted by Ambassador Prikk.,candidate-only
resolve-presenter-before-relationship,eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,person-name,polish-consul-general-urszula-gacek-from-new-york,Polish Consul General Urszula Gacek from New York,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/,Original CIHOF profile lists inducted by Polish Consul General Urszula Gacek from New York.,candidate-only
resolve-presenter-before-relationship,eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,person-name,polish-consul-general-urszula-gacek-from-new-york,Polish Consul General Urszula Gacek from New York,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/induction-event-info/eugenia-stolarczyk/,Original CIHOF profile lists inducted by Polish Consul General Urszula Gacek from New York.,candidate-only
resolve-presenter-before-relationship,ingrida-bublys-2019,Ingrida Bublys,person-name,alex-machaskee-former-plain-dealer-publisher,Alex Machaskee (Former Plain Dealer Publisher),inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/ingrida-bublys/,Original CIHOF profile lists inducted by Alex Machaskee (Former Plain Dealer Publisher).,candidate-only
resolve-presenter-before-relationship,jack-kahl-2016,Jack Kahl,person-name,dan-coughlin,Dan Coughlin,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/jack-kahl-2016/,Original CIHOF profile lists inducted by Dan Coughlin.,candidate-only
resolve-presenter-before-relationship,jack-kahl-2016,Jack Kahl,person-name,dan-coughlin,Dan Coughlin,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/induction-event-info/jack-kahl/,Original CIHOF profile lists inducted by Dan Coughlin.,candidate-only
resolve-presenter-before-relationship,jim-craciun-2017,Jim Craciun,person-name,cleveland-councilman-matt-zone,Cleveland Councilman Matt Zone,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees-europe/jim-craciun/,Original CIHOF profile lists inducted by Cleveland Councilman Matt Zone.,candidate-only
resolve-presenter-before-relationship,joe-valencic-2020,Joe Valencic,person-name,cleveland-city-councilman-and-fellow-slovenian-mike-polensek,Cleveland City Councilman and fellow Slovenian Mike Polensek,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/joe-valencic/,Original CIHOF profile lists inducted by Cleveland City Councilman and fellow Slovenian Mike Polensek.,candidate-only
resolve-presenter-before-relationship,khalid-samad-2016-2016,Khalid Samad – 2016,person-name,city-of-cleveland-community-relations-board-director-blaine-griffin,City of Cleveland Community Relations Board Director Blaine Griffin,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/khalid-samad-2016/,Original CIHOF profile lists inducted by City of Cleveland Community Relations Board Director Blaine Griffin.,candidate-only
resolve-presenter-before-relationship,khalid-samad-2016-2016,Khalid Samad – 2016,person-name,city-of-cleveland-director-blaine-griffin,City of Cleveland Director Blaine Griffin,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/induction-event-info/khalid-samad/,Original CIHOF profile lists inducted by City of Cleveland Director Blaine Griffin.,candidate-only
resolve-presenter-before-relationship,le-nguyen-2026,Le Nguyen,person-name,former-cleveland-mayor-frank-g-jackson,former Cleveland Mayor Frank G. Jackson,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/le-nguyen/,Original CIHOF profile lists inducted by former Cleveland Mayor Frank G. Jackson.,candidate-only
resolve-presenter-before-relationship,lucy-torres-2026,Lucy Torres,person-name,cleveland-city-council-president-blaine-griffin,Cleveland City Council President Blaine Griffin,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/lucy-torres/,Original CIHOF profile lists inducted by Cleveland City Council President Blaine Griffin.,candidate-only
resolve-presenter-before-relationship,margaret-lynch-2020,Margaret Lynch,person-name,gerry-quinn,Gerry Quinn,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/margaret-lynch/,Original CIHOF profile lists inducted by Gerry Quinn.,candidate-only
resolve-presenter-before-relationship,marilyn-madigan-2019,Marilyn Madigan,person-name,john-o-brien-jr-ohio-irish-american-news-publisher,John O’Brien Jr. (Ohio Irish American News Publisher),inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/marilyn-madigan/,Original CIHOF profile lists inducted by John O’Brien Jr. (Ohio Irish American News Publisher).,candidate-only
resolve-presenter-before-relationship,michael-d-polensek-2023,Michael D. Polensek,person-name,joe-cimperman,Joe Cimperman,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/michael-d-polensek/,Original CIHOF profile lists inducted by Joe Cimperman.,candidate-only
resolve-presenter-before-relationship,mohan-bafna-2016,Mohan Bafna,person-name,his-son-suresh-bafna,his son Suresh Bafna,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/mohan-bafna-2016/,Original CIHOF profile lists inducted by his son Suresh Bafna.,candidate-only
resolve-presenter-before-relationship,mohan-bafna-2016,Mohan Bafna,person-name,his-son-suresh-bafna,his son Suresh Bafna,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/induction-event-info/dr-mohan-bafna/,Original CIHOF profile lists inducted by his son Suresh Bafna.,candidate-only
resolve-presenter-before-relationship,pat-dowd-2023,Pat Dowd,person-name,gerry-quinn,Gerry Quinn,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/pat-dowd/,Original CIHOF profile lists inducted by Gerry Quinn.,candidate-only
resolve-presenter-before-relationship,paul-burik-2019,Paul Burik,person-name,chris-ronayne-university-circle-president,Chris Ronayne (University Circle President),inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/paul-burik/,Original CIHOF profile lists inducted by Chris Ronayne (University Circle President).,candidate-only
resolve-presenter-before-relationship,pierre-bejjani-2023,Pierre Bejjani,person-name,seven-hills-mayor-anthony-d-biasiotta,Seven Hills Mayor Anthony D. Biasiotta,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/pierre-bejjani/,Original CIHOF profile lists inducted by Seven Hills Mayor Anthony D. Biasiotta.,candidate-only
resolve-presenter-before-relationship,raj-aggarwal-2025,Raj Aggarwal,person-name,values-in-action-president-stuart-muszynski,Values-in-Action President Stuart Muszynski,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/raj-aggarwal/,Original CIHOF profile lists inducted by Values-in-Action President Stuart Muszynski.,candidate-only
resolve-presenter-before-relationship,ralph-perk-jr-2018,Ralph Perk Jr.,person-name,congresswoman-mary-rose-oakar,Congresswoman Mary Rose Oakar,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees-europe/ralph-perk-jr/,Original CIHOF profile lists inducted by Congresswoman Mary Rose Oakar.,candidate-only
resolve-presenter-before-relationship,ramesh-shah-2020,Ramesh Shah,person-name,federation-of-india-community-associations-board-chairman-sudarshan-sathe-and-welcomed-to-the-hall-by-inaugural-cihf-inductee-paramjit-singh,Federation of India Community Associations Board Chairman Sudarshan Sathe and welcomed to the Hall by Inaugural CIHF inductee Paramjit Singh,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/ramesh-shah/,Original CIHOF profile lists inducted by Federation of India Community Associations Board Chairman Sudarshan Sathe and welcomed to the Hall by Inaugural CIHF inductee Paramjit Singh.,candidate-only
resolve-presenter-before-relationship,ramesh-shah-2020,Ramesh Shah,person-name,sudarshan-sathe-and-paramjit-singh,Sudarshan Sathe and Paramjit Singh,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/ramesh-shah/,Original CIHOF profile lists inducted by Sudarshan Sathe and Paramjit Singh.,candidate-only
resolve-presenter-before-relationship,ray-pianka-2018,Ray Pianka,person-name,councilman-anthony-brancatelli-kirsten-pianka-and-karen-pianka-accept-the-award-for-their-late-father-husband-judge-ray-pianka,Councilman Anthony Brancatelli. Kirsten Pianka and Karen Pianka accept the award for their late father/husband Judge Ray Pianka,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees-europe/ray-pianka/,Original CIHOF profile lists inducted by Councilman Anthony Brancatelli. Kirsten Pianka and Karen Pianka accept the award for their late father/husband Judge Ray Pianka.,candidate-only
resolve-presenter-before-relationship,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,person-name,seven-hills-mayor-richard-dell-aquila,Seven Hills Mayor Richard Dell’Aquila,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/induction-event-info/rev-mikhail-mikhail/,Original CIHOF profile lists inducted by Seven Hills Mayor Richard Dell’Aquila.,candidate-only
resolve-presenter-before-relationship,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,person-name,seven-hills-mayor-richard-dell-aquila,Seven Hills Mayor Richard Dell’Aquila,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/,Original CIHOF profile lists inducted by Seven Hills Mayor Richard Dell’Aquila.,candidate-only
resolve-presenter-before-relationship,sam-kim-2017,Sam Kim,person-name,his-son-ki-kim,his son Ki Kim,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees-asia/sam-kim/,Original CIHOF profile lists inducted by his son Ki Kim.,candidate-only
resolve-presenter-before-relationship,sheila-murphy-crawford-2018,Sheila Murphy Crawford,person-name,gerry-quinn,Gerry Quinn,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees-europe/sheila-murphy-crawford/,Original CIHOF profile lists inducted by Gerry Quinn.,candidate-only
resolve-presenter-before-relationship,shiv-k-aggarwal-2015,Shiv K. Aggarwal,person-name,michael-sreshta,Michael Sreshta,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/shiv-k-aggarwal-2015/,Original CIHOF profile lists inducted by Michael Sreshta.,candidate-only
resolve-presenter-before-relationship,sree-sreenath-2019,Sree Sreenath,person-name,ramesh-shah-association-of-indian-physicians-of-northern-ohio,Ramesh Shah (Association of Indian Physicians of Northern Ohio),inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/sree-sreenath/,Original CIHOF profile lists inducted by Ramesh Shah (Association of Indian Physicians of Northern Ohio).,candidate-only
resolve-presenter-before-relationship,sudarshan-sathe-2023,Sudarshan Sathe,person-name,baiju-shah,Baiju Shah,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/sudarshan-sathe/,Original CIHOF profile lists inducted by Baiju Shah.,candidate-only
resolve-presenter-before-relationship,svetlana-stolyarova-2025,Svetlana Stolyarova,person-name,dr-anton-komar,Dr. Anton Komar,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/svetlana-stolyarova/,Original CIHOF profile lists inducted by Dr. Anton Komar.,candidate-only
resolve-presenter-before-relationship,veronica-dahlberg-2024,Veronica Dahlberg,person-name,jasmin-santana,Jasmin Santana,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees/veronica-dahlberg/,Original CIHOF profile lists inducted by Jasmin Santana.,candidate-only
resolve-presenter-before-relationship,wael-khoury-2017,Wael Khoury,person-name,dr-nizar-zein,Dr. Nizar Zein,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees-asia/wael-khoury/,Original CIHOF profile lists inducted by Dr. Nizar Zein.,candidate-only
