id,name,classYear,region,collectionStatus,wikipediaStatus,wikipediaTitle,wikipediaUrl,wikidataStatus,wikidataId,wikidataLabel,officialSiteLeadCount,officialSiteLeadUrls,factStubCount,sourceErrorCount,officialSiteSourceErrorCount,reviewReason
jim-foster-2014,Jim Foster,2014,Europe,collected-needs-review,candidates-only,,,candidates-only,,,0,,1,0,0,Wikipedia candidates need identity review; Wikidata candidates need identity review; no official-site lead collected
joseph-p-meissner-2014,Joseph P Meissner,2014,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,0,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
margaret-callander-2014,Margaret Callander,2014,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
monte-ahuja-2014,Monte Ahuja,2014,Asia,collected-needs-review,candidates-only,,,not-found,,,2,https://clevelandvoices.org/items/show/1982|https://www.indiaspora.org/philanthropy-leader/monte-ahuja/,2,1,0,Wikipedia candidates need identity review; no Wikidata match collected; 2 official-site leads collected
thomas-j-scanlon-2014,Thomas J. Scanlon,2014,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
bishop-anthony-pilla-2015,Bishop Anthony Pilla,2015,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
dick-pogue-2015,Dick Pogue,2015,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
dick-russ-2015,Dick Russ,2015,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
honorable-jose-a-villanueva-2015,Honorable José A. Villanueva,2015,North America,collected-needs-review,not-found,,,not-found,,,1,https://thehispanicroundtable.org/user/files/Bios/Judge%20Jose%20A-%20Villanueva%20Bio.pdf,1,2,0,no Wikipedia match collected; no Wikidata match collected; 1 official-site lead collected
richard-a-ganim-2015,Richard A. Ganim,2015,Asia,collected-needs-review,not-found,,,not-found,,,1,http://flash.ulib.csuohio.edu/cmp/perk/akers-camp-ganim.html,1,2,0,no Wikipedia match collected; no Wikidata match collected; 1 official-site lead collected
shiv-k-aggarwal-2015,Shiv K. Aggarwal,2015,Asia,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
steve-mulloy-2015,Steve Mulloy,2015,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,2016,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
