inducteeId,inducteeName,classYear,roleCandidate,confidence,sourceUrl,sourcePageUrl,width,height,altText,needsRightsReview
akram-boutros-2019,Akram Boutros,2019,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2019/03/akram-boutros-600-240x300.jpg,https://clevelandinternationalhalloffame.com/akram-boutros/,600,750,Akram Boutros,true
akram-boutros-2019,Akram Boutros,2019,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2019/05/aakram-boutros-armond-budish-2-300x275.jpg,https://clevelandinternationalhalloffame.com/akram-boutros/,500,458,"Cuyahoga County Executive Armond Budish inducted Akram Boutros MD, the President and CEO of MetroHealth, the public health system in Cleveland, into the Cleveland International Hall of Fame.",true
akram-boutros-2019,Akram Boutros,2019,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2019/05/akram-boutros-1-300x254.jpg,https://clevelandinternationalhalloffame.com/akram-boutros/,500,423,"Akram Boutros MD, the President and CEO of MetroHealth, the public health system in Cleveland, giving his induction speech at the Cleveland International Hall of Fame",true
akram-boutros-2019,Akram Boutros,2019,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2019/05/akram-boutros-2-300x277.jpg,https://clevelandinternationalhalloffame.com/akram-boutros/,500,462,"Akram Boutros MD, the President and CEO of MetroHealth, the public health system in Cleveland, giving his induction speech at the Cleveland International Hall of Fame",true
akram-boutros-2019,Akram Boutros,2019,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2019/05/akram-boutros-4-300x256.jpg,https://clevelandinternationalhalloffame.com/akram-boutros/,500,426,"Akram Boutros MD, the President and CEO of MetroHealth, the public health system in Cleveland, giving his induction speech at the Cleveland International Hall of Fame",true
akram-boutros-2019,Akram Boutros,2019,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2019/05/akram-boutros-armond-budish-300x218.jpg,https://clevelandinternationalhalloffame.com/akram-boutros/,500,363,"Cuyahoga County Executive Armond Budish inducted Akram Boutros MD, the President and CEO of MetroHealth, the public health system in Cleveland, into the Cleveland International Hall of Fame.",true
akram-boutros-2019,Akram Boutros,2019,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2019/05/akram-boutros-armond-budish.jpg,https://clevelandinternationalhalloffame.com/akram-boutros/,500,363,,true
akram-boutros-2019,Akram Boutros,2019,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2019/05/akram-boutros-4.jpg,https://clevelandinternationalhalloffame.com/akram-boutros/,500,426,,true
akram-boutros-2019,Akram Boutros,2019,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2019/05/akram-boutros-2.jpg,https://clevelandinternationalhalloffame.com/akram-boutros/,500,462,,true
akram-boutros-2019,Akram Boutros,2019,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2019/05/akram-boutros-1.jpg,https://clevelandinternationalhalloffame.com/akram-boutros/,500,423,,true
akram-boutros-2019,Akram Boutros,2019,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2019/05/aakram-boutros-armond-budish-2.jpg,https://clevelandinternationalhalloffame.com/akram-boutros/,500,458,,true
