inducteeId,inducteeName,classYear,placeLabel,evidenceType,confidence,sourcePageUrl,safeguardStatus,migrationDirection
sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,Cleveland Cultural Gardens,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-europe/sheila-murphy-crawford/,needs-geography-review,not-inferred
sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-europe/sheila-murphy-crawford/,needs-geography-review,not-inferred
sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,Irish,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-europe/sheila-murphy-crawford/,needs-geography-review,not-inferred
sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,Murphy Irish Dancers,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-europe/sheila-murphy-crawford/,needs-geography-review,not-inferred
sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,Sheila Murphy Crawford,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-europe/sheila-murphy-crawford/,needs-geography-review,not-inferred
sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,Catholic,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-south-america/sister-alicia-alvarado/,needs-geography-review,not-inferred
sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,Hispanic,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-south-america/sister-alicia-alvarado/,needs-geography-review,not-inferred
sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-south-america/sister-alicia-alvarado/,needs-geography-review,not-inferred
sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,Puerto Rico,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-south-america/sister-alicia-alvarado/,needs-geography-review,not-inferred
sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,Sister Alicia Alvarado,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-south-america/sister-alicia-alvarado/,needs-geography-review,not-inferred
sree-sreenath-2019,Sree Sreenath,2019,Hindu,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/sree-sreenath/,needs-geography-review,not-inferred
sree-sreenath-2019,Sree Sreenath,2019,India,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/sree-sreenath/,needs-geography-review,not-inferred
sree-sreenath-2019,Sree Sreenath,2019,Sewa,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/sree-sreenath/,needs-geography-review,not-inferred
sree-sreenath-2019,Sree Sreenath,2019,Sreenath,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/sree-sreenath/,needs-geography-review,not-inferred
sudarshan-sathe-2023,Sudarshan Sathe,2023,FICA,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/sudarshan-sathe/,needs-geography-review,not-inferred
sudarshan-sathe-2023,Sudarshan Sathe,2023,India,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/sudarshan-sathe/,needs-geography-review,not-inferred
svetlana-stolyarova-2025,Svetlana Stolyarova,2025,Russia,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/svetlana-stolyarova/,needs-geography-review,not-inferred
taras-szmagala-2022,Taras Szmagala,2022,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/taras-szmagala/,needs-geography-review,not-inferred
taras-szmagala-2022,Taras Szmagala,2022,Ukraine,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/taras-szmagala/,needs-geography-review,not-inferred
valarie-mccall-2020,Valarie McCall,2020,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/valarie-mccall/,needs-geography-review,not-inferred
valarie-mccall-2020,Valarie McCall,2020,Mayor Frank Jackson,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/valarie-mccall/,needs-geography-review,not-inferred
valarie-mccall-2020,Valarie McCall,2020,Sister Cities,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/valarie-mccall/,needs-geography-review,not-inferred
veronica-dahlberg-2024,Veronica Dahlberg,2024,Hispanic,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/veronica-dahlberg/,needs-geography-review,not-inferred
veronica-dahlberg-2024,Veronica Dahlberg,2024,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/veronica-dahlberg/,needs-geography-review,not-inferred
veronica-dahlberg-2024,Veronica Dahlberg,2024,Mexican,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/veronica-dahlberg/,needs-geography-review,not-inferred
victor-ruiz-2022,Victor Ruiz,2022,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/victor-ruiz/,needs-geography-review,not-inferred
victor-ruiz-2022,Victor Ruiz,2022,Latinx,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/victor-ruiz/,needs-geography-review,not-inferred
victor-ruiz-2022,Victor Ruiz,2022,Puerto Rico,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/victor-ruiz/,needs-geography-review,not-inferred
wael-khoury-2017,Wael Khoury,2017,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-asia/wael-khoury/,needs-geography-review,not-inferred
abby-mina-2018,Abby Mina,2018,Blue Cross,source-phrase,0.38,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,needs-geography-review,not-inferred
abby-mina-2018,Abby Mina,2018,Abby Mina,source-phrase,0.38,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,needs-geography-review,not-inferred
abby-mina-2018,Abby Mina,2018,Ohio Representative Marlene Anielski,source-phrase,0.38,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,needs-geography-review,not-inferred
aklilu-demessie-2026,Aklilu Demessie,2026,Ethiopia for,source-phrase,0.38,https://clevelandinternationalhalloffame.com/aklilu-demessie/,needs-geography-review,not-inferred
aklilu-demessie-2026,Aklilu Demessie,2026,Menelik High in Addis,source-phrase,0.38,https://clevelandinternationalhalloffame.com/aklilu-demessie/,needs-geography-review,not-inferred
aklilu-demessie-2026,Aklilu Demessie,2026,Black churches in Cleveland,source-phrase,0.38,https://clevelandinternationalhalloffame.com/aklilu-demessie/,needs-geography-review,not-inferred
aklilu-demessie-2026,Aklilu Demessie,2026,Bahir Dar now reside,source-phrase,0.38,https://clevelandinternationalhalloffame.com/aklilu-demessie/,needs-geography-review,not-inferred
aklilu-demessie-2026,Aklilu Demessie,2026,Aklilu Demessie,source-phrase,0.38,https://clevelandinternationalhalloffame.com/aklilu-demessie/,needs-geography-review,not-inferred
akram-boutros-2019,Akram Boutros,2019,Cleveland Watching Dr. Boutros,source-phrase,0.38,https://clevelandinternationalhalloffame.com/akram-boutros/,needs-geography-review,not-inferred
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,Cork. His grandmother,source-phrase,0.38,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/,needs-geography-review,not-inferred
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,New Market,source-phrase,0.38,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/,needs-geography-review,not-inferred
anda-cook-2022,Anda Cook,2022,Riga,source-phrase,0.38,https://clevelandinternationalhalloffame.com/anda-cook/,needs-geography-review,not-inferred
anda-cook-2022,Anda Cook,2022,Congressman Dennis Kucinich,source-phrase,0.38,https://clevelandinternationalhalloffame.com/anda-cook/,needs-geography-review,not-inferred
anda-cook-2022,Anda Cook,2022,Dagmar Celeste Anda Cook,source-phrase,0.38,https://clevelandinternationalhalloffame.com/anda-cook/,needs-geography-review,not-inferred
andy-chakalis-2026,Andy Chakalis,2026,Greece.,source-phrase,0.38,https://clevelandinternationalhalloffame.com/andy-chakalis/,needs-geography-review,not-inferred
atul-mehta-2018,Atul Mehta,2018,Dr. Atul Mehta,source-phrase,0.38,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,needs-geography-review,not-inferred
basil-russo-2017,Basil Russo,2017,Basil Russo,source-phrase,0.38,https://clevelandinternationalhalloffame.com/inductees-europe/basil-russo/,needs-geography-review,not-inferred
beverly-kerecman-2025,Beverly Kerecman,2025,Cleveland,source-phrase,0.38,https://clevelandinternationalhalloffame.com/beverly-kerecman/,needs-geography-review,not-inferred
beverly-kerecman-2025,Beverly Kerecman,2025,Japan remained as the,source-phrase,0.38,https://clevelandinternationalhalloffame.com/beverly-kerecman/,needs-geography-review,not-inferred
