id,name,classYear,sourceRuntimePath,sourceWidth,sourceHeight,normalResolution,shortestSide,aspectRatio,fileSizeBytes,fileSizeLabel,qualityLabel,fitMode,reviewFlags,reviewRecommendation,rightsStatus,approvedForKiosk
sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,/media/images/sister-alicia-alvarado-2018/primary.jpg,500,750,500 x 750,500,0.667,293539,286.7 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
akram-boutros-2019,Akram Boutros,2019,/media/images/akram-boutros-2019/primary.jpg,600,750,600 x 750,600,0.8,229902,224.5 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
ingrida-bublys-2019,Ingrida Bublys,2019,/media/images/ingrida-bublys-2019/primary.jpg,851,1024,851 x 1024,851,0.831,101582,99.2 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
marilyn-madigan-2019,Marilyn Madigan,2019,/media/images/marilyn-madigan-2019/primary.jpg,703,749,703 x 749,703,0.939,177415,173.3 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
paul-burik-2019,Paul Burik,2019,/media/images/paul-burik-2019/primary.jpg,500,692,500 x 692,500,0.723,227611,222.3 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
richard-fleischman-2019,Richard Fleischman,2019,/media/images/richard-fleischman-2019/primary.jpg,756,1024,756 x 1024,756,0.738,139622,136.3 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
sree-sreenath-2019,Sree Sreenath,2019,/media/images/sree-sreenath-2019/primary.jpg,711,1024,711 x 1024,711,0.694,96972,94.7 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
berj-shakarian-2020,Berj Shakarian,2020,/media/images/berj-shakarian-2020/primary.jpg,656,606,656 x 606,606,1.083,232302,226.9 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
joe-valencic-2020,Joe Valencic,2020,/media/images/joe-valencic-2020/primary.jpg,683,1024,683 x 1024,683,0.667,98344,96.0 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
margaret-lynch-2020,Margaret Lynch,2020,/media/images/margaret-lynch-2020/primary.jpg,836,1024,836 x 1024,836,0.816,156870,153.2 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
may-chen-2020,May Chen,2020,/media/images/may-chen-2020/primary.jpg,804,1024,804 x 1024,804,0.785,89667,87.6 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
ramesh-shah-2020,Ramesh Shah,2020,/media/images/ramesh-shah-2020/primary.jpg,741,713,741 x 713,713,1.039,402173,392.7 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
